Day	[4, 4, 4, 3, 3, 3]	[4, 4, 4, 4, 3, 2]	[4, 4, 4, 4, 4, 1]	[5, 4, 3, 3, 3, 3]	[5, 4, 4, 4, 2, 2]	[5, 4, 4, 4, 4, 0]	[5, 5, 3, 3, 3, 2]	[5, 5, 5, 3, 2, 1]	[5, 5, 5, 3, 3, 0]	[5, 5, 5, 4, 1, 1]	[5, 5, 5, 4, 2, 0]	[5, 5, 5, 5, 1, 0]	[6, 3, 3, 3, 3, 3]	[6, 4, 4, 4, 3, 0]	[6, 5, 4, 2, 2, 2]	[6, 5, 4, 4, 1, 1]	[6, 5, 5, 3, 1, 1]	[6, 5, 5, 5, 0, 0]	[6, 6, 3, 2, 2, 2]	[6, 6, 3, 3, 2, 1]	[6, 6, 4, 2, 2, 1]	[6, 6, 4, 4, 1, 0]	[6, 6, 5, 2, 2, 0]	[6, 6, 5, 4, 0, 0]	[6, 6, 6, 1, 1, 1]	[6, 6, 6, 2, 1, 0]	[6, 6, 6, 3, 0, 0]	[7, 3, 3, 3, 3, 2]	[7, 4, 3, 3, 3, 1]	[7, 4, 4, 2, 2, 2]	[7, 4, 4, 4, 2, 0]	[7, 5, 3, 2, 2, 2]	[7, 5, 3, 3, 3, 0]	[7, 5, 5, 2, 1, 1]	[7, 5, 5, 4, 0, 0]	[7, 6, 2, 2, 2, 2]	[7, 6, 3, 3, 1, 1]	[7, 6, 4, 4, 0, 0]	[7, 6, 5, 1, 1, 1]	[7, 6, 5, 3, 0, 0]	[7, 6, 6, 2, 0, 0]	[7, 7, 2, 2, 2, 1]	[7, 7, 3, 2, 1, 1]	[7, 7, 3, 2, 2, 0]	[7, 7, 3, 3, 1, 0]	[7, 7, 4, 1, 1, 1]	[7, 7, 4, 2, 1, 0]	[7, 7, 5, 1, 1, 0]	[7, 7, 7, 0, 0, 0]	
58000	0.022911912247796457	0.019243647155552428	0.02024985084510175	0.01917314734960039	0.011415396986200095	0.025008112529075394	0.01134219793153693	0.004726668074573338	0.014844965040236897	0.017194815014682025	0.018751209331478554	0.0312834896797738	0.02015071463022209	0.01566809746670346	0.004746313124194619	0.009073386069057603	0.009779108645715585	0.03770226020125132	0.017145737112401405	0.00900982761850906	0.00980813410835018	0.014698982938894604	0.01588125160794995	0.02951173651999032	0.04001311043682238	0.03160556905980801	0.024869542280935165	0.02485029738083181	0.015561779465824287	0.014840566796110012	0.010849511013131549	0.01861948785202409	0.010773962537725192	0.01575126188572894	0.0245833005631115	0.03115337385018727	0.014518035134703922	0.016546342069966552	0.03147893345651027	0.017301268607902424	0.03050907859106229	0.037460639633771074	0.029238727517580096	0.024433484997537593	0.01636610018164497	0.024669356975596933	0.01721980754885946	0.030375470243201894	0.03709002969057414	
59000	0.022909265047219473	0.019241423779637654	0.020247511214246856	0.019170932119104724	0.01141407807204046	0.025005223137338918	0.011340887474662647	0.004726121963959823	0.014843249880035722	0.017195245177889486	0.018749552405384635	0.03128621298792874	0.020148386453384706	0.015666287203282177	0.004745764743827901	0.00907319874258589	0.009780832407649688	0.03770660699632185	0.01714375612518888	0.009008786639449247	0.00980756635169215	0.014700510741176405	0.015883903099103387	0.02951547380846144	0.040019153409634356	0.03161067615828621	0.02487425272159701	0.02484742622276988	0.015559981486191005	0.014838852144073966	0.01084825748040575	0.018617336590337468	0.010772717733732487	0.015752889792572007	0.024584661404664438	0.031149774446159427	0.01451635774738811	0.0165470756622781	0.03148301658314939	0.017303907603683784	0.03051373160658688	0.03745631149975165	0.029235349328299465	0.02443066199721862	0.01636420927226229	0.024669725174089076	0.01721912918837402	0.030379100092505492	0.03709466808241629	
60000	0.022906637383097155	0.019239216812333204	0.020245188849968745	0.019168733237105863	0.011412768891524322	0.025002355069438313	0.011339586689016704	0.0047255798836662475	0.014841547377791014	0.017195398993443033	0.018747520544540843	0.031288550493783436	0.020146075458593	0.01566449029968321	0.004745220410531982	0.009072852178756103	0.009782492585731597	0.03771057602974679	0.01714178975774768	0.009007753342859887	0.009807163734377355	0.014701886670433918	0.01588660344027478	0.02951895038666745	0.04002548949396025	0.03161595864071183	0.02487891758070484	0.024844576253978522	0.015558196775725152	0.014837150146244052	0.010847013198805619	0.018615201205055186	0.010771482116447075	0.0157546491118295	0.024585729448173697	0.031146201605888844	0.014514692739263209	0.016547633638867937	0.03148735765899235	0.01730646667920444	0.030518533753209426	0.037452015307548145	0.029231997328684343	0.024427859830764037	0.016362332317872673	0.024670441665251414	0.01721868220984984	0.03038296163221801	0.03709952113963688	
61000	0.02290402148462003	0.01923701972695927	0.020242876884323344	0.019166544200834617	0.011411465573002981	0.02499949984361636	0.01133829172777667	0.004725040230594758	0.014839852498680877	0.01719526902457611	0.018745379610032583	0.03129048340630348	0.020143774811525905	0.01566270144191096	0.004744678514546212	0.009072343119676496	0.009784080553162449	0.03771414118195861	0.017139832194925507	0.009006724672965724	0.009806921264483801	0.014703100409255583	0.01588933900383219	0.02952214433734972	0.04003208557738226	0.03162138932050959	0.024883512810302585	0.024841739046225126	0.015556420056489951	0.014835455769290174	0.010845774488608503	0.018613075381187217	0.010770252031769262	0.01575653051083822	0.024586491773130457	0.03114264476339002	0.014513035186388999	0.016548007229452877	0.03149193379129513	0.017308931678585972	0.030523460389919772	0.03744773835249608	0.029228909370851194	0.02442507021130738	0.01636046376774556	0.02467149461550654	0.01721846038063925	0.030387034517525432	0.037104563262247814	
62000	0.022901408527107082	0.019234825111692434	0.020240567517940962	0.01916435762562115	0.011410163719757565	0.024996647827826044	0.011336998222416758	0.004724501184236541	0.014838159525064712	0.01719484738087702	0.018743241082502932	0.031291992131994184	0.020141476750996735	0.015660914595289573	0.004744137227795359	0.009071667741144065	0.009785587416393156	0.03771727504868074	0.017137876832923504	0.009005697159569562	0.009806833417062493	0.01470414062815254	0.01589209564899076	0.0295250323490525	0.040038905257450075	0.03162693884773456	0.024888013027559722	0.024838905028246157	0.015554645334758721	0.014833763297265684	0.010844537171050404	0.018610951947309495	0.01076902333003311	0.01575852345622973	0.024586934337932756	0.03113909191972619	0.014511379497044164	0.016548186426105248	0.031496719236237154	0.017311287505603408	0.030528484622177925	0.037443739093197426	0.029226259422538703	0.024422283728123356	0.016358597318364813	0.02467286921360626	0.01721845557302194	0.030391295462697684	0.03710976527289653	
63000	0.02289879738082609	0.019232632017673897	0.020238259752349316	0.01916217256608287	0.011408862768921856	0.024993797788976483	0.011335705613680018	0.004723962511530804	0.014836467724972368	0.017194131794497323	0.018741104037343106	0.03129306731206396	0.02013918028342144	0.015659128987262266	0.004743596316249925	0.009070824822544447	0.009787007025613541	0.037719962205149254	0.01713592282632586	0.009004670358418091	0.009806897357826984	0.01470500007964755	0.01589486384574927	0.02952760004765301	0.04004592175829617	0.0316325860143267	0.024892399839636564	0.024836072974732462	0.015552871843216924	0.01483207199841736	0.010843300711167618	0.018608829985339113	0.010767795480000007	0.01576062140638714	0.024587051146693874	0.03113554153879818	0.014509724955378726	0.01654816627600747	0.03150169577397762	0.017313524275817203	0.030533587681737927	0.037440287816487935	0.029224044811455237	0.02441949917645469	0.016356732162756515	0.024674556357486135	0.017218664205504854	0.030395728688051828	0.037115107697091365	
64000	0.022896192364849324	0.019230444072479706	0.020235957404801545	0.01915999263650608	0.011407564872386287	0.024990954441289806	0.011334416039658287	0.004723425103490915	0.014834779896794357	0.017193124529991083	0.018738972009419222	0.03129370767917302	0.020136889207365186	0.01565734757138632	0.004743056674626577	0.00906982682163136	0.00978833557917432	0.0377221967738861	0.017133973407236464	0.009003645967933379	0.009807112200080022	0.014705675105277498	0.015897637664522016	0.02952984037928853	0.04005311662836462	0.03163831640928678	0.024896660649295445	0.024833247570156706	0.01555110251538009	0.01483038467030654	0.010842067154176668	0.01860671300519322	0.010766570512645032	0.015762821098607997	0.024586842533333125	0.031131999493257338	0.014508103085747228	0.016547945965642286	0.031506851661032655	0.017315636282141916	0.03053875744760822	0.037437391910534384	0.02922226883367768	0.02441672116220179	0.01635487138605707	0.024676551704426838	0.017219086156514365	0.030400324738797124	0.03712057902236653	
65000	0.022893589168273606	0.019228257655395	0.02023365666526443	0.01915781422944041	0.011406267882330432	0.024988113079460264	0.011333127366303684	0.004722888070788737	0.014833093247433001	0.017191821955033375	0.018736841470550977	0.03129390091603065	0.020134599731447263	0.01565556739969081	0.004742517409900932	0.009068795622131117	0.009789565673321874	0.037723959355430284	0.017132025349664588	0.009002622292905675	0.009807473140807065	0.014706156827533436	0.01590040512546547	0.029531735645248258	0.04006045559856402	0.03164410328258178	0.024900773464557123	0.024830424138906272	0.015549334423281071	0.014828698520663163	0.010840834458729312	0.01860459750359325	0.010765346400834444	0.01576511302080256	0.024586300106896455	0.03112857869372636	0.014506688900043646	0.01654751877591229	0.0315121626144918	0.017317611337043817	0.030543969882055703	0.03743504359810765	0.02922092281273942	0.02441394508817564	0.01635301190896537	0.02467884079290707	0.01721971430333995	0.03040506204563525	0.037126153047594555	
66000	0.022890984510900127	0.01922607001139071	0.020231354634654995	0.019155634599950025	0.011404970164461693	0.024985270123185264	0.011331837969803095	0.004722350736727767	0.014831405651599301	0.01719022083947578	0.01873470973611942	0.03129363595412031	0.020132308970777685	0.015653786229042392	0.004741977842563983	0.009067763843967727	0.00979068971671349	0.03772523230558472	0.01713007619892978	0.009001598043437248	0.009807975133002314	0.014706436881472664	0.015903154490757892	0.029533269538557953	0.04006790331153852	0.03164991973450081	0.02490471722018148	0.024827599123272218	0.015547565339007703	0.014827011424827856	0.010839601071548254	0.018602480814868226	0.01076412160210694	0.015767486848784675	0.02458541691499158	0.031125609273097255	0.014505508407744654	0.016546879069662967	0.03151760314779973	0.01731943810779883	0.030549201234616026	0.037433235221259305	0.029219997884149737	0.02441116745634076	0.016351151388418163	0.024681407924889577	0.017220541268437948	0.030409918272255577	0.03713180381070423	
67000	0.022888379715240458	0.019223882251240325	0.020229052481826375	0.01915345485473892	0.011403672377694622	0.02498242701597235	0.011330548504846012	0.004721813374138732	0.01482971796616796	0.017188335784022277	0.018732577888509995	0.03129290841878283	0.020130018088487255	0.01565200496382823	0.004741438246580385	0.009066732011025265	0.009791701817447693	0.037726006144164506	0.017128126944710907	0.009000573739589473	0.009808614352708935	0.014706509949628792	0.015905876803726744	0.029534432113501013	0.04007543045895509	0.031655744105695285	0.024908475943256066	0.024824773957652663	0.015545796160810296	0.014825324239421433	0.010838367618884407	0.01860036401376415	0.01076289673835257	0.015769934338262855	0.024584191581590194	0.031123113782586715	0.01450455909286056	0.016546025014198378	0.03152315231418248	0.01732110903880704	0.030554433160787486	0.03743196495013085	0.029219489684343264	0.02440854620010221	0.016349311141791473	0.02468424062194444	0.017221562277659714	0.030414875786328403	0.0371375119690512	
68000	0.022885768145937655	0.019221688801926977	0.020226744342362477	0.019151269441207527	0.011402371216096815	0.024979576515398855	0.011329255686698687	0.004721274614164676	0.014828025891993548	0.017186374591021337	0.01873044049713569	0.03129170418008271	0.02012772124886995	0.015650219066521417	0.004740897247403932	0.009065697494851942	0.009792592942424802	0.03772625917472215	0.01712617262155212	0.00899954677208986	0.009809382975761751	0.014706365866728232	0.015908557192926834	0.02953520362649973	0.04008299255770673	0.031661542805600844	0.02491202481521291	0.02482194144532877	0.015544022381951897	0.014823632666572243	0.010837130958687491	0.018598241708022826	0.010761668689400178	0.01577244132528506	0.0245826149179457	0.031121082558346988	0.01450383283785282	0.016544949329168557	0.03152877722959737	0.017322610630836243	0.030559635807476754	0.03743121625846541	0.029219382432154578	0.024406263790689692	0.016347652687113523	0.024687316680513938	0.017222765742552777	0.030419905443301577	0.03714324414583457	
69000	0.022883153704487635	0.019219492940305765	0.020224433664456882	0.019149081624205852	0.0114010686235098	0.02497672287990672	0.011327961446738036	0.0047207352616741	0.014826331956912731	0.017184411241142925	0.01872830075510479	0.031290024976051586	0.02012542188323842	0.015648431205123572	0.0047403556532483685	0.00906466184094021	0.009793359154466448	0.03772598851527631	0.017124216149071305	0.008998518675153727	0.00981027762716706	0.014706001694050098	0.015911188530844098	0.02953557887451922	0.04009056375704644	0.03166729711153738	0.02491535104247547	0.024819105817869416	0.015542246652330071	0.014821939233368001	0.010835892938438566	0.018596117068215737	0.01076043928986623	0.015775000957586983	0.024580689738905537	0.03111951940231605	0.014503327643821985	0.016543652534517134	0.031534459447185324	0.017323937658674467	0.030564793409382306	0.037430988605430836	0.029219672702833797	0.024404324956745327	0.016346214272911164	0.02469062442494503	0.0172241472786604	0.030424991752507305	0.037148983424832416	
70000	0.022880542762379538	0.01921730001777149	0.02022212607931594	0.019146896735523566	0.011399767774399109	0.024973873063909722	0.01132666893907401	0.004720196631088693	0.014824640289107032	0.017182450519142276	0.018726163877046516	0.031287877135395	0.020123125595230343	0.0156466457367181	0.004739814783998336	0.009063627573216356	0.0097939979239062	0.037725196702693566	0.017122262295263018	0.008997491954290731	0.00981129570937747	0.014705416616060223	0.015913765598128942	0.029535556850595956	0.04009812259088474	0.03167299190972763	0.02491844513819829	0.024816273985801978	0.015540473299462608	0.014820248066767142	0.010834656575238058	0.01859399527216754	0.010759211535842193	0.015777607978658428	0.024578422356297862	0.031118430345902493	0.014503042534163405	0.0165421374409463	0.03154018381694127	0.017325087220165118	0.030569893660319005	0.037431284196692734	0.0292203592249866	0.02440273578376046	0.016344998550274027	0.024694154234747016	0.01722570388420833	0.030430122369593502	0.03715471686462026	
71000	0.02287793918869062	0.019215113283950536	0.02021982500648116	0.019144718012882075	0.011398470596454243	0.02497103129046512	0.011325380079035158	0.004719659520589036	0.014822953395408487	0.017180495330554817	0.018724033029536836	0.03128526462456847	0.020120835787646514	0.015644865307137233	0.0047392754411518705	0.0090625962243309	0.009794505886078613	0.03772388341647257	0.017120424119321225	0.008996468130967925	0.009812433178629374	0.014704608757374716	0.015916281526318465	0.02953513433048746	0.04010564308290223	0.03167860871012383	0.024921295544241998	0.02481345014553388	0.015538704951228199	0.01481856167285892	0.010833423701215712	0.018591879464104448	0.01075798724670013	0.015780255133765585	0.024575817255339676	0.031117816779773898	0.014502974416183742	0.016540405655864416	0.03154593146311305	0.01732605502084559	0.03057492105591084	0.037432099751667336	0.029221436492712558	0.024401498862132224	0.016344005910186282	0.024697893105335912	0.01722743020265806	0.030435281403302237	0.03716042750776507	
72000	0.02287534003366707	0.019212930261353615	0.02021752783892129	0.01914254298786834	0.011397175620020059	0.02496819433994758	0.011324093406390208	0.004719123321648608	0.014821269364628274	0.017178543460223395	0.018721905798403486	0.03128218265790061	0.020118549866218725	0.015643087899219477	0.0047387370136532415	0.009061566625803312	0.009794876642983775	0.037722038187424096	0.01711888310643361	0.008995446045230917	0.009813682424154606	0.014703572428255074	0.01591872458523239	0.029534300379874125	0.04011308664002907	0.03168411945153604	0.02492388420552658	0.024810631097757503	0.015536939604152963	0.014816878141020801	0.010832192919570403	0.018589767246893374	0.010756765035365216	0.015782929616360637	0.02457302574034508	0.03111766929244633	0.01450311539965316	0.016538529996351466	0.03155167324771121	0.01732683233636252	0.03057985117535192	0.037433419097478084	0.02922288908128662	0.024400608833936546	0.016343231723126465	0.02470181961216695	0.01722931521800951	0.030440443356925757	0.03716608763517908	
73000	0.02287274240462856	0.01921074852042702	0.02021523202004713	0.019140369239829477	0.011395881403877085	0.02496535905502674	0.011322807489161264	0.004718587437514921	0.014819586322556231	0.01717659273585099	0.01871977981618484	0.03127868848826902	0.020116265286873974	0.01564131153483237	0.004738198902269785	0.009060537631761371	0.009795104575803668	0.03771965247016963	0.017117639170931172	0.008994424559568753	0.009815035682174572	0.014702302547197274	0.01592108362976586	0.029533045432526873	0.04012041643108493	0.03168949734918988	0.024926194259024245	0.02480781370506699	0.015535175293527392	0.014815195597597954	0.010830962860527036	0.01858765626978224	0.010755543541600533	0.015785619360131627	0.024570235329136624	0.0311179775021509	0.014503457376499041	0.0165366519492619	0.03155738146433065	0.017327411306516195	0.030584660750114224	0.03743522544978251	0.02922470133098027	0.02440005962977058	0.01634267102493899	0.024705912900953187	0.017231348001433115	0.03044558404118589	0.03717167091816362	
74000	0.022870143745191304	0.019208565914071482	0.02021293529049293	0.019138194629532278	0.011394586674358753	0.024962522645436407	0.011321521061848883	0.004718051340812636	0.014817902612873662	0.01717464123768681	0.01871765299065502	0.03127513479726036	0.020113979801307576	0.015639534465816635	0.004737660577434238	0.009059508229549443	0.00979518519987757	0.037716720203826395	0.017116689738650125	0.008993404746810782	0.009816485828367931	0.014700794792901114	0.015923349219859117	0.02953136187628708	0.04012759912299288	0.031694718556703035	0.024928211329842725	0.02480499519480427	0.01553341028305459	0.014813512386762366	0.010829732313557465	0.018585544455312093	0.010754321563307181	0.015788313323835804	0.02456744381105868	0.03111873138291987	0.014503992520038143	0.016534773157209397	0.03156303066503204	0.017327785333781997	0.03058932888583522	0.037437502360690635	0.029226857882734082	0.024399844974212142	0.01634231861191694	0.024710152751342918	0.017233517712384613	0.03045068096094091	0.037177152838820685	
