,Name,side 1,side 2,side 3,side 4,side 5 ,side 6,MU wins,MU draws,MU losses,MU win %,MU draw %,MU loss %,total win %,total draws %,total loss %
94,8/3/3/3/2/2,8,3,3,3,2,2,242,14,75,0.7311,0.0423,0.2266,0.5207,0.1062,0.3731
95,8/3/3/3/3/1,8,3,3,3,3,1,250,17,64,0.7553,0.0514,0.1934,0.5155,0.1071,0.3774
96,8/4/3/2/2/2,8,4,3,2,2,2,236,18,77,0.713,0.0544,0.2326,0.5164,0.1066,0.377
97,8/4/3/3/2/1,8,4,3,3,2,1,244,19,68,0.7372,0.0574,0.2054,0.5112,0.1075,0.3813
98,8/4/3/3/3/0,8,4,3,3,3,0,244,24,63,0.7372,0.0725,0.1903,0.5003,0.1089,0.3907
99,8/4/4/2/2/1,8,4,4,2,2,1,233,27,71,0.7039,0.0816,0.2145,0.507,0.1079,0.3851
100,8/4/4/3/1/1,8,4,4,3,1,1,238,27,66,0.7190000000000001,0.0816,0.1994,0.5018,0.1088,0.3894
101,8/4/4/3/2/0,8,4,4,3,2,0,243,24,64,0.7341,0.0725,0.1934,0.4961,0.1093,0.3946
102,8/4/4/4/1/0,8,4,4,4,1,0,233,35,63,0.7039,0.1057,0.1903,0.4866,0.1107,0.4027
103,8/5/2/2/2/2,8,5,2,2,2,2,216,41,74,0.6526,0.1239,0.2236,0.5083,0.1077,0.384
104,8/5/3/2/2/1,8,5,3,2,2,1,222,37,72,0.6707,0.1118,0.2175,0.5031,0.1086,0.3883
105,8/5/3/3/1/1,8,5,3,3,1,1,225,34,72,0.6798,0.1027,0.2175,0.4979,0.1095,0.3926
106,8/5/3/3/2/0,8,5,3,3,2,0,239,22,70,0.7221,0.0665,0.2115,0.4922,0.11,0.3978
107,8/5/4/2/1/1,8,5,4,2,1,1,220,27,84,0.6647,0.0816,0.2538,0.4936,0.1099,0.3964
108,8/5/4/2/2/0,8,5,4,2,2,0,224,38,69,0.6767,0.1148,0.2085,0.4879,0.1104,0.4016
109,8/5/4/3/1/0,8,5,4,3,1,0,222,44,65,0.6707,0.1329,0.1964,0.4827,0.1114,0.4059
110,8/5/4/4/0/0,8,5,4,4,0,0,198,45,88,0.5982,0.136,0.2659,0.4675,0.1132,0.4193
111,8/5/5/1/1/1,8,5,5,1,1,1,199,38,94,0.6012,0.1148,0.284,0.4803,0.11199999999999999,0.4078
112,8/5/5/2/1/0,8,5,5,2,1,0,198,49,84,0.5982,0.14800000000000002,0.2538,0.4746,0.1125,0.413
113,8/5/5/3/0/0,8,5,5,3,0,0,187,64,80,0.565,0.1934,0.2417,0.4637,0.1139,0.4225
114,8/6/2/2/2/1,8,6,2,2,2,1,216,24,91,0.6526,0.0725,0.2749,0.4918,0.1103,0.39799999999999996
115,8/6/3/2/1/1,8,6,3,2,1,1,214,23,94,0.6465,0.0695,0.284,0.4866,0.1112,0.4022
116,8/6/3/2/2/0,8,6,3,2,2,0,216,27,88,0.6526,0.0816,0.2659,0.4809,0.1117,0.4074
117,8/6/3/3/1/0,8,6,3,3,1,0,205,44,82,0.6193,0.1329,0.2477,0.4757,0.1126,0.4117
118,8/6/4/1/1/1,8,6,4,1,1,1,189,36,106,0.5710000000000001,0.1088,0.3202,0.4771,0.1125,0.4104
119,8/6/4/2/1/0,8,6,4,2,1,0,187,40,104,0.565,0.1208,0.3142,0.4714,0.113,0.4156
120,8/6/4/3/0/0,8,6,4,3,0,0,164,70,97,0.4955,0.2115,0.2931,0.4605,0.1145,0.4251
121,8/6/5/1/1/0,8,6,5,1,1,0,164,36,131,0.4955,0.1088,0.3958,0.45799999999999996,0.1151,0.4269
122,8/6/5/2/0/0,8,6,5,2,0,0,140,59,132,0.423,0.1782,0.3988,0.4523,0.1156,0.4321
123,8/6/6/1/0/0,8,6,6,1,0,0,116,44,171,0.3505,0.1329,0.5166,0.4358,0.1182,0.446
124,8/7/2/2/1/1,8,7,2,2,1,1,190,30,111,0.574,0.0906,0.3353,0.4726,0.1135,0.4138
125,8/7/2/2/2/0,8,7,2,2,2,0,193,28,110,0.5831,0.0846,0.3323,0.4669,0.114,0.419
126,8/7/3/1/1/1,8,7,3,1,1,1,182,22,127,0.5498,0.0665,0.3837,0.4674,0.1145,0.4181
127,8/7/3/2/1/0,8,7,3,2,1,0,174,43,114,0.5257,0.1299,0.3444,0.4617,0.115,0.4233
128,8/7/3/3/0/0,8,7,3,3,0,0,140,68,123,0.423,0.2054,0.3716,0.4508,0.1164,0.4328
129,8/7/4/1/1/0,8,7,4,1,1,0,149,31,151,0.4502,0.0937,0.4562,0.4522,0.1163,0.4314
130,8/7/4/2/0/0,8,7,4,2,0,0,118,51,162,0.3565,0.1541,0.4894,0.4465,0.1168,0.4366
131,8/7/5/1/0/0,8,7,5,1,0,0,112,35,184,0.3384,0.1057,0.5559,0.4332,0.1188,0.44799999999999995
132,8/7/6/0/0/0,8,7,6,0,0,0,54,66,211,0.1631,0.1994,0.6375,0.41100000000000003,0.1219,0.4671
133,8/8/2/1/1/1,8,8,2,1,1,1,168,18,145,0.5076,0.0544,0.4381,0.4516,0.1172,0.4313
