,Name,side 1,side 2,side 3,side 4,side 5 ,side 6,MU wins,MU draws,MU losses,MU win %,MU draw %,MU loss %,total win %,total draws %,total loss %
25,6/5/3/3/2/2,6,5,3,3,2,2,262,22,47,0.7915,0.0665,0.142,0.5381,0.1026,0.3593
26,6/5/3/3/3/1,6,5,3,3,3,1,269,21,41,0.8127,0.0634,0.1239,0.5329,0.1036,0.3635
27,6/5/4/2/2/2,6,5,4,2,2,2,260,28,43,0.7855,0.0846,0.1299,0.5338,0.1031,0.3631
28,6/5/4/3/2/1,6,5,4,3,2,1,260,48,23,0.7855,0.145,0.0695,0.5286,0.10400000000000001,0.3674
29,6/5/4/3/3/0,6,5,4,3,3,0,265,23,43,0.8006,0.0695,0.1299,0.5177,0.1054,0.3769
30,6/5/4/4/1/1,6,5,4,4,1,1,267,26,38,0.8066,0.0785,0.1148,0.5191,0.1053,0.3755
31,6/5/4/4/2/0,6,5,4,4,2,0,274,21,36,0.8278,0.0634,0.1088,0.5134,0.1058,0.3807
32,6/5/5/2/2/1,6,5,5,2,2,1,259,34,38,0.7825,0.1027,0.1148,0.5205,0.1051,0.3745
33,6/5/5/3/1/1,6,5,5,3,1,1,269,31,31,0.8127,0.0937,0.0937,0.5153,0.106,0.3787
34,6/5/5/3/2/0,6,5,5,3,2,0,276,24,31,0.8338,0.0725,0.0937,0.5096,0.1065,0.3839
35,6/5/5/4/1/0,6,5,5,4,1,0,253,27,51,0.7644,0.0816,0.1541,0.5001,0.1078,0.3921
36,6/5/5/5/0/0,6,5,5,5,0,0,224,26,81,0.6767,0.0785,0.2447,0.48100000000000004,0.1104,0.4086
37,6/6/3/2/2/2,6,6,3,2,2,2,257,20,54,0.7764,0.0604,0.1631,0.5268,0.1043,0.3689
38,6/6/3/3/2/1,6,6,3,3,2,1,261,27,43,0.7885,0.0816,0.1299,0.5216,0.1052,0.3732
39,6/6/3/3/3/0,6,6,3,3,3,0,258,30,43,0.7795,0.0906,0.1299,0.5107,0.1067,0.3827
40,6/6/4/2/2/1,6,6,4,2,2,1,254,34,43,0.7674,0.1027,0.1299,0.5173,0.1057,0.3771
41,6/6/4/3/1/1,6,6,4,3,1,1,255,52,24,0.7704,0.1571,0.0725,0.5121,0.1066,0.3813
42,6/6/4/3/2/0,6,6,4,3,2,0,267,39,25,0.8066,0.1178,0.0755,0.5064,0.1071,0.3865
43,6/6/4/4/1/0,6,6,4,4,1,0,252,40,39,0.7613,0.1208,0.1178,0.4969,0.1084,0.3947
44,6/6/5/2/1/1,6,6,5,2,1,1,242,35,54,0.7311,0.1057,0.1631,0.5039,0.1077,0.3884
45,6/6/5/2/2/0,6,6,5,2,2,0,252,33,46,0.7613,0.0997,0.139,0.4982,0.1082,0.3936
46,6/6/5/3/1/0,6,6,5,3,1,0,256,33,42,0.7734,0.0997,0.1269,0.493,0.1091,0.3979
47,6/6/5/4/0/0,6,6,5,4,0,0,223,37,71,0.6737,0.1118,0.2145,0.4778,0.1109,0.4112
48,6/6/6/1/1/1,6,6,6,1,1,1,186,86,59,0.5619,0.2598,0.1782,0.4874,0.1103,0.4023
49,6/6/6/2/1/0,6,6,6,2,1,0,219,37,75,0.6616,0.1118,0.2266,0.4817,0.1108,0.4075
50,6/6/6/3/0/0,6,6,6,3,0,0,217,43,71,0.6556,0.1299,0.2145,0.4708,0.1122,0.41700000000000004
51,7/3/3/3/3/2,7,3,3,3,3,2,261,7,63,0.7885,0.0211,0.1903,0.5366,0.1035,0.3599
52,7/4/3/3/2/2,7,4,3,3,2,2,258,14,59,0.7795,0.0423,0.1782,0.5323,0.1039,0.3638
53,7/4/3/3/3/1,7,4,3,3,3,1,267,15,49,0.8066,0.0453,0.14800000000000002,0.5271,0.1048,0.3681
54,7/4/4/2/2/2,7,4,4,2,2,2,254,22,55,0.7674,0.0665,0.1662,0.528,0.1043,0.3677
55,7/4/4/3/2/1,7,4,4,3,2,1,266,18,47,0.8036,0.0544,0.142,0.5228,0.1052,0.3719
56,7/4/4/3/3/0,7,4,4,3,3,0,247,37,47,0.7462,0.1118,0.142,0.5119,0.1067,0.3814
57,7/4/4/4/1/1,7,4,4,4,1,1,258,29,44,0.7795,0.0876,0.1329,0.5133,0.1066,0.3801
58,7/4/4/4/2/0,7,4,4,4,2,0,258,26,47,0.7795,0.0785,0.142,0.5076,0.1071,0.3853
59,7/5/3/2/2/2,7,5,3,2,2,2,249,22,60,0.7523,0.0665,0.1813,0.5242,0.105,0.3708
60,7/5/3/3/2/1,7,5,3,3,2,1,253,24,54,0.7644,0.0725,0.1631,0.519,0.1059,0.3751
61,7/5/3/3/3/0,7,5,3,3,3,0,254,30,47,0.7674,0.0906,0.142,0.5081,0.1073,0.3846
62,7/5/4/2/2/1,7,5,4,2,2,1,251,26,54,0.7583,0.0785,0.1631,0.5147,0.1063,0.379
63,7/5/4/3/1/1,7,5,4,3,1,1,252,39,40,0.7613,0.1178,0.1208,0.5095,0.1073,0.3833
64,7/5/4/3/2/0,7,5,4,3,2,0,252,49,30,0.7613,0.14800000000000002,0.0906,0.5038,0.1078,0.3885
65,7/5/4/4/1/0,7,5,4,4,1,0,247,35,49,0.7462,0.1057,0.14800000000000002,0.4943,0.1091,0.3966
66,7/5/5/2/1/1,7,5,5,2,1,1,242,30,59,0.7311,0.0906,0.1782,0.5013,0.1083,0.3903
67,7/5/5/2/2/0,7,5,5,2,2,0,242,50,39,0.7311,0.1511,0.1178,0.4956,0.1088,0.3955
68,7/5/5/3/1/0,7,5,5,3,1,0,245,51,35,0.7402,0.1541,0.1057,0.4904,0.1098,0.3998
69,7/5/5/4/0/0,7,5,5,4,0,0,210,44,77,0.6344,0.1329,0.2326,0.4752,0.1116,0.4131
70,7/6/2/2/2/2,7,6,2,2,2,2,227,42,62,0.6858,0.1269,0.1873,0.5128,0.1067,0.3805
71,7/6/3/2/2/1,7,6,3,2,2,1,241,28,62,0.7281,0.0846,0.1873,0.5076,0.1076,0.3848
72,7/6/3/3/1/1,7,6,3,3,1,1,235,46,50,0.71,0.139,0.1511,0.5024,0.1085,0.3891
73,7/6/3/3/2/0,7,6,3,3,2,0,247,30,54,0.7462,0.0906,0.1631,0.4967,0.109,0.3943
74,7/6/4/2/1/1,7,6,4,2,1,1,232,31,68,0.7009,0.0937,0.2054,0.4982,0.1089,0.3929
75,7/6/4/2/2/0,7,6,4,2,2,0,234,51,46,0.7069,0.1541,0.139,0.4924,0.1094,0.3981
76,7/6/4/3/1/0,7,6,4,3,1,0,226,71,34,0.6828,0.2145,0.1027,0.4872,0.1104,0.4024
77,7/6/4/4/0/0,7,6,4,4,0,0,206,51,74,0.6224,0.1541,0.2236,0.4721,0.1122,0.4157
78,7/6/5/1/1/1,7,6,5,1,1,1,204,47,80,0.6163,0.142,0.2417,0.4848,0.1109,0.4042
79,7/6/5/2/1/0,7,6,5,2,1,0,211,51,69,0.6375,0.1541,0.2085,0.4791,0.1114,0.4094
80,7/6/5/3/0/0,7,6,5,3,0,0,214,47,70,0.6465,0.142,0.2115,0.4682,0.1129,0.4189
81,7/6/6/1/1/0,7,6,6,1,1,0,173,44,114,0.5227,0.1329,0.3444,0.4626,0.114,0.4234
82,7/6/6/2/0/0,7,6,6,2,0,0,169,51,111,0.5106,0.1541,0.3353,0.4569,0.1146,0.4286
83,7/7/2/2/2/1,7,7,2,2,2,1,218,22,91,0.6586,0.0665,0.2749,0.4937,0.1099,0.3964
84,7/7/3/2/1/1,7,7,3,2,1,1,215,27,89,0.6495,0.0816,0.2689,0.4885,0.1109,0.4006
85,7/7/3/2/2/0,7,7,3,2,2,0,221,30,80,0.6677,0.0906,0.2417,0.4828,0.1114,0.4058
86,7/7/3/3/1/0,7,7,3,3,1,0,209,45,77,0.6314,0.136,0.2326,0.4776,0.1123,0.4101
87,7/7/4/1/1/1,7,7,4,1,1,1,195,35,101,0.5891,0.1057,0.3051,0.479,0.1122,0.4088
88,7/7/4/2/1/0,7,7,4,2,1,0,191,45,95,0.5770000000000001,0.136,0.287,0.4733,0.1127,0.414
89,7/7/4/3/0/0,7,7,4,3,0,0,175,72,84,0.5287,0.2175,0.2538,0.4624,0.1141,0.4235
90,7/7/5/1/1/0,7,7,5,1,1,0,170,36,125,0.5136,0.1088,0.3776,0.46,0.1147,0.4253
91,7/7/5/2/0/0,7,7,5,2,0,0,151,67,113,0.4562,0.2024,0.3414,0.4543,0.1152,0.4305
92,7/7/6/1/0/0,7,7,6,1,0,0,124,46,161,0.3746,0.139,0.4864,0.4377,0.1178,0.4444
93,7/7/7/0/0/0,7,7,7,0,0,0,52,102,177,0.1571,0.3082,0.5347,0.4129,0.1216,0.4655
