sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[7, 5, 3, 3, 2, 1]	239.0	24.0	54.0	75.394%	7.5709%	17.034%	5819.0	1249.0	4344.0	50.990%	10.944%	38.065%	
[7, 5, 3, 3, 3, 0]	240.0	30.0	47.0	75.709%	9.4637%	14.826%	5741.0	1217.0	4454.0	50.306%	10.664%	39.029%	
[7, 5, 4, 2, 2, 1]	237.0	26.0	54.0	74.763%	8.2018%	17.034%	5768.0	1255.0	4389.0	50.543%	10.997%	38.459%	
[7, 5, 4, 3, 1, 1]	238.0	39.0	40.0	75.078%	12.302%	12.618%	5709.0	1263.0	4440.0	50.026%	11.067%	38.906%	
[7, 5, 4, 3, 2, 0]	238.0	49.0	30.0	75.078%	15.457%	9.4637%	5690.0	1223.0	4499.0	49.859%	10.716%	39.423%	
[7, 5, 4, 4, 1, 0]	233.0	35.0	49.0	73.501%	11.041%	15.457%	5580.0	1237.0	4595.0	48.895%	10.839%	40.264%	
[7, 5, 5, 2, 1, 1]	228.0	30.0	59.0	71.924%	9.4637%	18.611%	5613.0	1276.0	4523.0	49.185%	11.181%	39.633%	
[7, 5, 5, 2, 2, 0]	228.0	50.0	39.0	71.924%	15.772%	12.302%	5594.0	1236.0	4582.0	49.018%	10.830%	40.150%	
[7, 5, 5, 3, 1, 0]	231.0	51.0	35.0	72.870%	16.088%	11.041%	5535.0	1244.0	4633.0	48.501%	10.900%	40.597%	
[7, 5, 5, 4, 0, 0]	196.0	44.0	77.0	61.829%	13.880%	24.290%	5406.0	1218.0	4788.0	47.371%	10.672%	41.955%	
[7, 6, 2, 2, 2, 2]	213.0	42.0	62.0	67.192%	13.249%	19.558%	5744.0	1261.0	4407.0	50.332%	11.049%	38.617%	
[7, 6, 3, 2, 2, 1]	227.0	28.0	62.0	71.608%	8.8328%	19.558%	5685.0	1269.0	4458.0	49.815%	11.119%	39.064%	
[7, 6, 3, 3, 1, 1]	221.0	46.0	50.0	69.716%	14.511%	15.772%	5626.0	1277.0	4509.0	49.298%	11.189%	39.511%	
[7, 6, 3, 3, 2, 0]	233.0	30.0	54.0	73.501%	9.4637%	17.034%	5607.0	1237.0	4568.0	49.132%	10.839%	40.028%	
[7, 6, 4, 2, 1, 1]	218.0	31.0	68.0	68.769%	9.7791%	21.451%	5575.0	1283.0	4554.0	48.852%	11.242%	39.905%	
[7, 6, 4, 2, 2, 0]	220.0	51.0	46.0	69.400%	16.088%	14.511%	5556.0	1243.0	4613.0	48.685%	10.892%	40.422%	
[7, 6, 4, 3, 1, 0]	212.0	71.0	34.0	66.876%	22.397%	10.725%	5497.0	1251.0	4664.0	48.168%	10.962%	40.869%	
[7, 6, 4, 4, 0, 0]	192.0	51.0	74.0	60.567%	16.088%	23.343%	5368.0	1225.0	4819.0	47.038%	10.734%	42.227%	
[7, 6, 5, 1, 1, 1]	190.0	47.0	80.0	59.936%	14.826%	25.236%	5420.0	1304.0	4688.0	47.493%	11.426%	41.079%	
[7, 6, 5, 2, 1, 0]	197.0	51.0	69.0	62.145%	16.088%	21.766%	5401.0	1264.0	4747.0	47.327%	11.076%	41.596%	
[7, 6, 5, 3, 0, 0]	200.0	47.0	70.0	63.091%	14.826%	22.082%	5323.0	1232.0	4857.0	46.643%	10.795%	42.560%	
