sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[7, 6, 3, 2, 2, 1]	241.0	28.0	62.0	72.809%	8.4592%	18.731%	6049.0	1282.0	4585.0	50.763%	10.758%	38.477%	
[7, 6, 3, 3, 1, 1]	235.0	46.0	50.0	70.996%	13.897%	15.105%	5987.0	1293.0	4636.0	50.243%	10.850%	38.905%	
[7, 6, 3, 3, 2, 0]	247.0	30.0	54.0	74.622%	9.0634%	16.314%	5919.0	1299.0	4698.0	49.672%	10.901%	39.425%	
[7, 6, 4, 2, 1, 1]	232.0	31.0	68.0	70.090%	9.3655%	20.543%	5936.0	1298.0	4682.0	49.815%	10.892%	39.291%	
[7, 6, 4, 2, 2, 0]	234.0	51.0	46.0	70.694%	15.407%	13.897%	5868.0	1304.0	4744.0	49.244%	10.943%	39.812%	
[7, 6, 4, 3, 1, 0]	226.0	71.0	34.0	68.277%	21.450%	10.271%	5806.0	1315.0	4795.0	48.724%	11.035%	40.240%	
[7, 6, 4, 4, 0, 0]	206.0	51.0	74.0	62.235%	15.407%	22.356%	5625.0	1337.0	4954.0	47.205%	11.220%	41.574%	
[7, 6, 5, 1, 1, 1]	204.0	47.0	80.0	61.631%	14.199%	24.169%	5777.0	1322.0	4817.0	48.481%	11.094%	40.424%	
[7, 6, 5, 2, 1, 0]	211.0	51.0	69.0	63.746%	15.407%	20.845%	5709.0	1328.0	4879.0	47.910%	11.144%	40.944%	
[7, 6, 5, 3, 0, 0]	214.0	47.0	70.0	64.652%	14.199%	21.148%	5579.0	1345.0	4992.0	46.819%	11.287%	41.893%	
[7, 6, 6, 1, 1, 0]	173.0	44.0	114.0	52.265%	13.293%	34.441%	5512.0	1359.0	5045.0	46.257%	11.404%	42.338%	
[7, 6, 6, 2, 0, 0]	169.0	51.0	111.0	51.057%	15.407%	33.534%	5444.0	1365.0	5107.0	45.686%	11.455%	42.858%	
[7, 7, 2, 2, 2, 1]	218.0	22.0	91.0	65.861%	6.6465%	27.492%	5883.0	1310.0	4723.0	49.370%	10.993%	39.635%	
[7, 7, 3, 2, 1, 1]	215.0	27.0	89.0	64.954%	8.1570%	26.888%	5821.0	1321.0	4774.0	48.850%	11.085%	40.063%	
[7, 7, 3, 2, 2, 0]	221.0	30.0	80.0	66.767%	9.0634%	24.169%	5753.0	1327.0	4836.0	48.279%	11.136%	40.584%	
[7, 7, 3, 3, 1, 0]	209.0	45.0	77.0	63.141%	13.595%	23.262%	5691.0	1338.0	4887.0	47.759%	11.228%	41.012%	
[7, 7, 4, 1, 1, 1]	195.0	35.0	101.0	58.912%	10.574%	30.513%	5708.0	1337.0	4871.0	47.901%	11.220%	40.877%	
[7, 7, 4, 2, 1, 0]	191.0	45.0	95.0	57.703%	13.595%	28.700%	5640.0	1343.0	4933.0	47.331%	11.270%	41.398%	
[7, 7, 4, 3, 0, 0]	175.0	72.0	84.0	52.870%	21.752%	25.377%	5510.0	1360.0	5046.0	46.240%	11.413%	42.346%	
[7, 7, 5, 1, 1, 0]	170.0	36.0	125.0	51.359%	10.876%	37.764%	5481.0	1367.0	5068.0	45.996%	11.471%	42.531%	
[7, 7, 5, 2, 0, 0]	151.0	67.0	113.0	45.619%	20.241%	34.138%	5413.0	1373.0	5130.0	45.426%	11.522%	43.051%	
[7, 7, 6, 1, 0, 0]	124.0	46.0	161.0	37.462%	13.897%	48.640%	5216.0	1404.0	5296.0	43.773%	11.782%	44.444%	
[7, 7, 7, 0, 0, 0]	52.0	102.0	177.0	15.709%	30.815%	53.474%	4920.0	1449.0	5547.0	41.289%	12.160%	46.550%	
[8, 3, 3, 3, 2, 2]	242.0	14.0	75.0	73.111%	4.2296%	22.658%	6205.0	1265.0	4446.0	52.072%	10.615%	37.311%	
[8, 3, 3, 3, 3, 1]	250.0	17.0	64.0	75.528%	5.1359%	19.335%	6143.0	1276.0	4497.0	51.552%	10.708%	37.739%	
[8, 4, 3, 2, 2, 2]	236.0	18.0	77.0	71.299%	5.4380%	23.262%	6154.0	1270.0	4492.0	51.644%	10.657%	37.697%	
[8, 4, 3, 3, 2, 1]	244.0	19.0	68.0	73.716%	5.7401%	20.543%	6092.0	1281.0	4543.0	51.124%	10.750%	38.125%	
[8, 4, 3, 3, 3, 0]	244.0	24.0	63.0	73.716%	7.2507%	19.033%	5962.0	1298.0	4656.0	50.033%	10.892%	39.073%	
[8, 4, 4, 2, 2, 1]	233.0	27.0	71.0	70.392%	8.1570%	21.450%	6041.0	1286.0	4589.0	50.696%	10.792%	38.511%	
[8, 4, 4, 3, 1, 1]	238.0	27.0	66.0	71.903%	8.1570%	19.939%	5979.0	1297.0	4640.0	50.176%	10.884%	38.939%	
[8, 4, 4, 3, 2, 0]	243.0	24.0	64.0	73.413%	7.2507%	19.335%	5911.0	1303.0	4702.0	49.605%	10.934%	39.459%	
[8, 4, 4, 4, 1, 0]	233.0	35.0	63.0	70.392%	10.574%	19.033%	5798.0	1319.0	4799.0	48.657%	11.069%	40.273%	
[8, 5, 2, 2, 2, 2]	216.0	41.0	74.0	65.256%	12.386%	22.356%	6057.0	1283.0	4576.0	50.830%	10.767%	38.402%	
[8, 5, 3, 2, 2, 1]	222.0	37.0	72.0	67.069%	11.178%	21.752%	5995.0	1294.0	4627.0	50.310%	10.859%	38.830%	
[8, 5, 3, 3, 1, 1]	225.0	34.0	72.0	67.975%	10.271%	21.752%	5933.0	1305.0	4678.0	49.790%	10.951%	39.258%	
[8, 5, 3, 3, 2, 0]	239.0	22.0	70.0	72.205%	6.6465%	21.148%	5865.0	1311.0	4740.0	49.219%	11.002%	39.778%	
[8, 5, 4, 2, 1, 1]	220.0	27.0	84.0	66.465%	8.1570%	25.377%	5882.0	1310.0	4724.0	49.362%	10.993%	39.644%	
[8, 5, 4, 2, 2, 0]	224.0	38.0	69.0	67.673%	11.480%	20.845%	5814.0	1316.0	4786.0	48.791%	11.043%	40.164%	
[8, 5, 4, 3, 1, 0]	222.0	44.0	65.0	67.069%	13.293%	19.637%	5752.0	1327.0	4837.0	48.271%	11.136%	40.592%	
[8, 5, 4, 4, 0, 0]	198.0	45.0	88.0	59.818%	13.595%	26.586%	5571.0	1349.0	4996.0	46.752%	11.320%	41.926%	
[8, 5, 5, 1, 1, 1]	199.0	38.0	94.0	60.120%	11.480%	28.398%	5723.0	1334.0	4859.0	48.027%	11.195%	40.777%	
[8, 5, 5, 2, 1, 0]	198.0	49.0	84.0	59.818%	14.803%	25.377%	5655.0	1340.0	4921.0	47.457%	11.245%	41.297%	
[8, 5, 5, 3, 0, 0]	187.0	64.0	80.0	56.495%	19.335%	24.169%	5525.0	1357.0	5034.0	46.366%	11.388%	42.245%	
[8, 6, 2, 2, 2, 1]	216.0	24.0	91.0	65.256%	7.2507%	27.492%	5860.0	1314.0	4742.0	49.177%	11.027%	39.795%	
[8, 6, 3, 2, 1, 1]	214.0	23.0	94.0	64.652%	6.9486%	28.398%	5798.0	1325.0	4793.0	48.657%	11.119%	40.223%	
[8, 6, 3, 2, 2, 0]	216.0	27.0	88.0	65.256%	8.1570%	26.586%	5730.0	1331.0	4855.0	48.086%	11.169%	40.743%	
[8, 6, 3, 3, 1, 0]	205.0	44.0	82.0	61.933%	13.293%	24.773%	5668.0	1342.0	4906.0	47.566%	11.262%	41.171%	
[8, 6, 4, 1, 1, 1]	189.0	36.0	106.0	57.099%	10.876%	32.024%	5685.0	1341.0	4890.0	47.708%	11.253%	41.037%	
[8, 6, 4, 2, 1, 0]	187.0	40.0	104.0	56.495%	12.084%	31.419%	5617.0	1347.0	4952.0	47.138%	11.304%	41.557%	
[8, 6, 4, 3, 0, 0]	164.0	70.0	97.0	49.546%	21.148%	29.305%	5487.0	1364.0	5065.0	46.047%	11.446%	42.505%	
[8, 6, 5, 1, 1, 0]	164.0	36.0	131.0	49.546%	10.876%	39.577%	5458.0	1371.0	5087.0	45.803%	11.505%	42.690%	
[8, 6, 5, 2, 0, 0]	140.0	59.0	132.0	42.296%	17.824%	39.879%	5390.0	1377.0	5149.0	45.233%	11.555%	43.210%	
[8, 6, 6, 1, 0, 0]	116.0	44.0	171.0	35.045%	13.293%	51.661%	5193.0	1408.0	5315.0	43.580%	11.816%	44.603%	
[8, 7, 2, 2, 1, 1]	190.0	30.0	111.0	57.401%	9.0634%	33.534%	5632.0	1353.0	4931.0	47.264%	11.354%	41.381%	
[8, 7, 2, 2, 2, 0]	193.0	28.0	110.0	58.308%	8.4592%	33.232%	5564.0	1359.0	4993.0	46.693%	11.404%	41.901%	
[8, 7, 3, 1, 1, 1]	182.0	22.0	127.0	54.984%	6.6465%	38.368%	5570.0	1364.0	4982.0	46.743%	11.446%	41.809%	
[8, 7, 3, 2, 1, 0]	174.0	43.0	114.0	52.567%	12.990%	34.441%	5502.0	1370.0	5044.0	46.173%	11.497%	42.329%	
[8, 7, 3, 3, 0, 0]	140.0	68.0	123.0	42.296%	20.543%	37.160%	5372.0	1387.0	5157.0	45.082%	11.639%	43.277%	
[8, 7, 4, 1, 1, 0]	149.0	31.0	151.0	45.015%	9.3655%	45.619%	5389.0	1386.0	5141.0	45.224%	11.631%	43.143%	
[8, 7, 4, 2, 0, 0]	118.0	51.0	162.0	35.649%	15.407%	48.942%	5321.0	1392.0	5203.0	44.654%	11.681%	43.663%	
[8, 7, 5, 1, 0, 0]	112.0	35.0	184.0	33.836%	10.574%	55.589%	5162.0	1416.0	5338.0	43.319%	11.883%	44.796%	
[8, 7, 6, 0, 0, 0]	54.0	66.0	211.0	16.314%	19.939%	63.746%	4897.0	1453.0	5566.0	41.096%	12.193%	46.710%	
[8, 8, 2, 1, 1, 1]	168.0	18.0	145.0	50.755%	5.4380%	43.806%	5381.0	1396.0	5139.0	45.157%	11.715%	43.126%	
[8, 8, 2, 2, 1, 0]	153.0	38.0	140.0	46.223%	11.480%	42.296%	5313.0	1402.0	5201.0	44.587%	11.765%	43.647%	
[8, 8, 3, 1, 1, 0]	134.0	29.0	168.0	40.483%	8.7613%	50.755%	5251.0	1413.0	5252.0	44.066%	11.858%	44.075%	
