Matchup	Value
[10, 6, 3, 2, 0, 0]	-11
[10, 6, 4, 1, 0, 0]	-10
[10, 6, 5, 0, 0, 0]	-6
[10, 7, 1, 1, 1, 1]	-16
[10, 7, 2, 1, 1, 0]	-13
[10, 7, 2, 2, 0, 0]	-10
[10, 7, 3, 1, 0, 0]	-10
[10, 7, 4, 0, 0, 0]	-6
[10, 8, 1, 1, 1, 0]	-12
[10, 8, 2, 1, 0, 0]	-9
[10, 8, 3, 0, 0, 0]	-6
[10, 9, 1, 1, 0, 0]	-8
[10, 9, 2, 0, 0, 0]	-5
[10, 10, 1, 0, 0, 0]	-4
[11, 2, 2, 2, 2, 2]	-19
[11, 3, 2, 2, 2, 1]	-19
[11, 3, 3, 2, 1, 1]	-19
[11, 3, 3, 2, 2, 0]	-16
[11, 3, 3, 3, 1, 0]	-16
[11, 4, 2, 2, 1, 1]	-18
[11, 4, 2, 2, 2, 0]	-15
[11, 4, 3, 1, 1, 1]	-18
[11, 4, 3, 2, 1, 0]	-15
[11, 4, 3, 3, 0, 0]	-12
[11, 4, 4, 1, 1, 0]	-14
[11, 4, 4, 2, 0, 0]	-11
[11, 5, 2, 1, 1, 1]	-17
[11, 5, 2, 2, 1, 0]	-14
[11, 5, 3, 1, 1, 0]	-14
[11, 5, 3, 2, 0, 0]	-11
[11, 5, 4, 1, 0, 0]	-10
[11, 5, 5, 0, 0, 0]	-6
[11, 6, 1, 1, 1, 1]	-16
[11, 6, 2, 1, 1, 0]	-13
[11, 6, 2, 2, 0, 0]	-10
[11, 6, 3, 1, 0, 0]	-10
[11, 6, 4, 0, 0, 0]	-6
[11, 7, 1, 1, 1, 0]	-12
[11, 7, 2, 1, 0, 0]	-9
[11, 7, 3, 0, 0, 0]	-6
[11, 8, 1, 1, 0, 0]	-8
[11, 8, 2, 0, 0, 0]	-5
[11, 9, 1, 0, 0, 0]	-4
[11, 10, 0, 0, 0, 0]	+0
[12, 2, 2, 2, 2, 1]	-18
[12, 3, 2, 2, 1, 1]	-18
[12, 3, 2, 2, 2, 0]	-15
[12, 3, 3, 1, 1, 1]	-18
[12, 3, 3, 2, 1, 0]	-15
[12, 3, 3, 3, 0, 0]	-12
[12, 4, 2, 1, 1, 1]	-17
[12, 4, 2, 2, 1, 0]	-14
[12, 4, 3, 1, 1, 0]	-14
[12, 4, 3, 2, 0, 0]	-11
[12, 4, 4, 1, 0, 0]	-10
[12, 5, 1, 1, 1, 1]	-16
[12, 5, 2, 1, 1, 0]	-13
[12, 5, 2, 2, 0, 0]	-10
[12, 5, 3, 1, 0, 0]	-10
[12, 5, 4, 0, 0, 0]	-6
[12, 6, 1, 1, 1, 0]	-12
[12, 6, 2, 1, 0, 0]	-9
[12, 6, 3, 0, 0, 0]	-6
[12, 7, 1, 1, 0, 0]	-8
[12, 7, 2, 0, 0, 0]	-5
[12, 8, 1, 0, 0, 0]	-4
[12, 9, 0, 0, 0, 0]	+0
[13, 2, 2, 2, 1, 1]	-17
[13, 2, 2, 2, 2, 0]	-14
[13, 3, 2, 1, 1, 1]	-17
[13, 3, 2, 2, 1, 0]	-14
[13, 3, 3, 1, 1, 0]	-14
[13, 3, 3, 2, 0, 0]	-11
[13, 4, 1, 1, 1, 1]	-16
[13, 4, 2, 1, 1, 0]	-13
[13, 4, 2, 2, 0, 0]	-10
[13, 4, 3, 1, 0, 0]	-10
[13, 4, 4, 0, 0, 0]	-6
[13, 5, 1, 1, 1, 0]	-12
[13, 5, 2, 1, 0, 0]	-9
[13, 5, 3, 0, 0, 0]	-6
[13, 6, 1, 1, 0, 0]	-8
[13, 6, 2, 0, 0, 0]	-5
[13, 7, 1, 0, 0, 0]	-4
[13, 8, 0, 0, 0, 0]	+0
[14, 2, 2, 1, 1, 1]	-16
[14, 2, 2, 2, 1, 0]	-13
[14, 3, 1, 1, 1, 1]	-16
[14, 3, 2, 1, 1, 0]	-13
[14, 3, 2, 2, 0, 0]	-10
